serie,caso,version,parametro,verdadero,ajustado,sigma,z,abs_delta,chi2red,convergido,t_ajuste_s,nota
E1,E1_sext_n256bin,v0,s1_gamma1,0.25,0.273048,0.00139,16.58,0.023,0.065,si,1.4,binning x2 de la teoria SITE 512 (SITE demo no genera 256 canales); vmax_eff=9.96078
E1,E1_sext_n256bin,v0,s1_depth,0.0106103,0.0100416,3.3e-05,-17.21,0.000569,0.065,si,1.4,binning x2 de la teoria SITE 512 (SITE demo no genera 256 canales); vmax_eff=9.96078
E1,E1_sext_n128bin,v0,s1_delta,0,2.10402e-07,0.00164,0.00,2.1e-07,0.896,si,0.6,binning x4 de la teoria SITE 512 (SITE demo no genera 128 canales); vmax_eff=9.88235
E1,E1_sext_n128bin,v0,s1_quad,0,8.43419e-07,0.00327,0.00,8.43e-07,0.896,si,0.6,binning x4 de la teoria SITE 512 (SITE demo no genera 128 canales); vmax_eff=9.88235
E1,E1_sext_n128bin,v0,s1_bhf,32.9874,32.9884,0.0115,0.09,0.001,0.896,si,0.6,binning x4 de la teoria SITE 512 (SITE demo no genera 128 canales); vmax_eff=9.88235
E1,E1_sext_n128bin,v0,s1_gamma1,0.25,0.340688,0.00919,9.87,0.0907,0.896,si,0.6,binning x4 de la teoria SITE 512 (SITE demo no genera 128 canales); vmax_eff=9.88235
E1,E1_sext_n128bin,v0,s1_depth,0.0106103,0.00915348,0.000209,-6.96,0.00146,0.896,si,0.6,binning x4 de la teoria SITE 512 (SITE demo no genera 128 canales); vmax_eff=9.88235
E4,E4_dob_512,v0,s1_delta,0.35,0.35,2.22e-07,-0.34,7.66e-08,0.000,si,0.0,doblete 512 ch: sin plegar vs plegado
E4,E4_dob_512,v0,s1_quad,1.2,1.2,4.42e-07,0.48,2.14e-07,0.000,si,0.0,doblete 512 ch: sin plegar vs plegado
E4,E4_dob_512,v0,s1_gamma1,0.25,0.25,6.57e-07,0.44,2.86e-07,0.000,si,0.0,doblete 512 ch: sin plegar vs plegado
E4,E4_dob_512,v0,s1_depth,0.0212207,0.0212242,3.74e-08,94.84,3.55e-06,0.000,si,0.0,doblete 512 ch: sin plegar vs plegado
E4,E4_sext_512,v0,s1_delta,0,1.42031e-07,7e-05,0.00,1.42e-07,0.002,si,1.3,sexteto 512 ch: sin plegar vs plegado
E4,E4_sext_512,v0,s1_quad,0,2.16251e-07,0.00014,0.00,2.16e-07,0.002,si,1.3,sexteto 512 ch: sin plegar vs plegado
E4,E4_sext_512,v0,s1_bhf,32.9874,32.9874,0.000477,-0.13,6.08e-05,0.002,si,1.3,sexteto 512 ch: sin plegar vs plegado
E4,E4_sext_512,v0,s1_gamma1,0.25,0.250026,0.00021,0.12,2.57e-05,0.002,si,1.3,sexteto 512 ch: sin plegar vs plegado
E4,E4_sext_512,v0,s1_depth,0.0106103,0.0106109,5.71e-06,0.11,6.11e-07,0.002,si,1.3,sexteto 512 ch: sin plegar vs plegado
E4,E4_dob_512,v0plegado,s1_delta,0.35,0.350374,,,0.000374,,si,,ajuste directo plegado
E4,E4_dob_512,v0plegado,s1_quad,-1.2,-1.19951,,,0.000492,,si,,ajuste directo plegado
E4,E4_dob_512,v0plegado,s1_gamma1,0.25,0.247611,,,0.00239,,si,,ajuste directo plegado
E4,E4_dob_512,v0plegado,s1_depth,0.0212207,0.0126164,,,0.0086,,si,,ajuste directo plegado
E4,E4_sext_512,v0plegado,s1_delta,0,1.43576e-07,,,1.44e-07,,si,,ajuste directo plegado
E4,E4_sext_512,v0plegado,s1_quad,0,2.21561e-07,,,2.22e-07,,si,,ajuste directo plegado
E4,E4_sext_512,v0plegado,s1_bhf,32.9874,32.9874,,,4.45e-05,,si,,ajuste directo plegado
E4,E4_sext_512,v0plegado,s1_gamma1,0.25,0.250028,,,2.81e-05,,si,,ajuste directo plegado
E4,E4_sext_512,v0plegado,s1_depth,0.0106103,0.0106104,,,3.88e-08,,si,,ajuste directo plegado
C3,C3_fuera_de_rango,v0,s1_delta,-5.329,-2,2.15,1.55,3.33,1702.065,si,4.3,lineas libres en ±5.33/±3.08: fuera del limite delta de Fitbauer [escalado DE; intento1 chi2red=1711.4]
C3,C3_fuera_de_rango,v0,s1_gamma1,0.28,4,7.62,0.49,3.72,1702.065,si,4.3,lineas libres en ±5.33/±3.08: fuera del limite delta de Fitbauer [escalado DE; intento1 chi2red=1711.4]
C3,C3_fuera_de_rango,v0,s1_depth,0.0568411,0.00294537,0.00246,-21.94,0.0539,1702.065,si,4.3,lineas libres en ±5.33/±3.08: fuera del limite delta de Fitbauer [escalado DE; intento1 chi2red=1711.4]
C3,C3_fuera_de_rango,v0,s2_delta,-3.084,-0.851556,0.0452,49.38,2.23,1702.065,si,4.3,lineas libres en ±5.33/±3.08: fuera del limite delta de Fitbauer [escalado DE; intento1 chi2red=1711.4]
C3,C3_fuera_de_rango,v0,s2_gamma1,0.28,0.114627,0.22,-0.75,0.165,1702.065,si,4.3,lineas libres en ±5.33/±3.08: fuera del limite delta de Fitbauer [escalado DE; intento1 chi2red=1711.4]
C3,C3_fuera_de_rango,v0,s2_depth,0.037894,0.0174057,0.023,-0.89,0.0205,1702.065,si,4.3,lineas libres en ±5.33/±3.08: fuera del limite delta de Fitbauer [escalado DE; intento1 chi2red=1711.4]
C3,C3_fuera_de_rango,v0,s3_delta,-0.839,-0.45064,5.03e-15,77228451372287.23,0.388,1702.065,si,4.3,lineas libres en ±5.33/±3.08: fuera del limite delta de Fitbauer [escalado DE; intento1 chi2red=1711.4]
C3,C3_fuera_de_rango,v0,s3_gamma1,0.28,0.16213,2.55e-15,-46282590977710.10,0.118,1702.065,si,4.3,lineas libres en ±5.33/±3.08: fuera del limite delta de Fitbauer [escalado DE; intento1 chi2red=1711.4]
C3,C3_fuera_de_rango,v0,s3_depth,0.018947,2.95287e-31,0.00893,-2.12,0.0189,1702.065,si,4.3,lineas libres en ±5.33/±3.08: fuera del limite delta de Fitbauer [escalado DE; intento1 chi2red=1711.4]
C3,C3_fuera_de_rango,v0,s4_delta,0.839,0.847818,0.0489,0.18,0.00882,1702.065,si,4.3,lineas libres en ±5.33/±3.08: fuera del limite delta de Fitbauer [escalado DE; intento1 chi2red=1711.4]
C3,C3_fuera_de_rango,v0,s4_gamma1,0.28,0.145308,0.174,-0.78,0.135,1702.065,si,4.3,lineas libres en ±5.33/±3.08: fuera del limite delta de Fitbauer [escalado DE; intento1 chi2red=1711.4]
C3,C3_fuera_de_rango,v0,s4_depth,0.018947,0.0171509,0.0133,-0.14,0.0018,1702.065,si,4.3,lineas libres en ±5.33/±3.08: fuera del limite delta de Fitbauer [escalado DE; intento1 chi2red=1711.4]
C3,C3_fuera_de_rango,v0,s5_delta,3.084,3,0.0406,-2.07,0.084,1702.065,si,4.3,lineas libres en ±5.33/±3.08: fuera del limite delta de Fitbauer [escalado DE; intento1 chi2red=1711.4]
C3,C3_fuera_de_rango,v0,s5_gamma1,0.28,0.295549,0.142,0.11,0.0155,1702.065,si,4.3,lineas libres en ±5.33/±3.08: fuera del limite delta de Fitbauer [escalado DE; intento1 chi2red=1711.4]
C3,C3_fuera_de_rango,v0,s5_depth,0.037894,0.028158,0.00774,-1.26,0.00974,1702.065,si,4.3,lineas libres en ±5.33/±3.08: fuera del limite delta de Fitbauer [escalado DE; intento1 chi2red=1711.4]
C3,C3_fuera_de_rango,v0,s6_delta,5.329,2.5861,8.91e-13,-3079983428425.89,2.74,1702.065,si,4.3,lineas libres en ±5.33/±3.08: fuera del limite delta de Fitbauer [escalado DE; intento1 chi2red=1711.4]
C3,C3_fuera_de_rango,v0,s6_gamma1,0.28,3.31689,7.21e-14,42100222561184.94,3.04,1702.065,si,4.3,lineas libres en ±5.33/±3.08: fuera del limite delta de Fitbauer [escalado DE; intento1 chi2red=1711.4]
C3,C3_fuera_de_rango,v0,s6_depth,0.0568411,2.56155e-21,0.00382,-14.87,0.0568,1702.065,si,4.3,lineas libres en ±5.33/±3.08: fuera del limite delta de Fitbauer [escalado DE; intento1 chi2red=1711.4]
A1a,A1a_d-2.00,v1,s1_delta,-2,-2,0.000357,0.00,2.22e-16,0.892,si,0.0,singlete barrido delta
A1a,A1a_d-2.00,v1,s1_gamma1,0.25,0.250635,0.00111,0.57,0.000635,0.892,si,0.0,singlete barrido delta
A1a,A1a_d-2.00,v1,s1_depth,0.0424413,0.0423007,0.000118,-1.19,0.000141,0.892,si,0.0,singlete barrido delta
A1a,A1a_d-1.00,v1,s1_delta,-1,-0.999624,0.00039,0.96,0.000376,1.070,si,0.0,singlete barrido delta
A1a,A1a_d-1.00,v1,s1_gamma1,0.25,0.250217,0.00118,0.18,0.000217,1.070,si,0.0,singlete barrido delta
A1a,A1a_d-1.00,v1,s1_depth,0.0424413,0.0424299,0.00013,-0.09,1.15e-05,1.070,si,0.0,singlete barrido delta
A1a,A1a_d-0.44,v1,s1_delta,-0.44,-0.439436,0.000389,1.45,0.000564,1.068,si,0.0,singlete barrido delta
A1a,A1a_d-0.44,v1,s1_gamma1,0.25,0.249997,0.00117,-0.00,3.39e-06,1.068,si,0.0,singlete barrido delta
A1a,A1a_d-0.44,v1,s1_depth,0.0424413,0.0424021,0.00013,-0.30,3.92e-05,1.068,si,0.0,singlete barrido delta
A1a,A1a_d-0.09,v1,s1_delta,-0.09,-0.0897021,0.000374,0.80,0.000298,0.985,si,0.0,singlete barrido delta
A1a,A1a_d-0.09,v1,s1_gamma1,0.25,0.250369,0.00112,0.33,0.000369,0.985,si,0.0,singlete barrido delta
A1a,A1a_d-0.09,v1,s1_depth,0.0424413,0.0424295,0.000125,-0.09,1.18e-05,0.985,si,0.0,singlete barrido delta
A1a,A1a_d+0.00,v1,s1_delta,0,0.000176282,0.000363,0.49,0.000176,0.934,si,0.0,singlete barrido delta
A1a,A1a_d+0.00,v1,s1_gamma1,0.25,0.250401,0.00109,0.37,0.000401,0.934,si,0.0,singlete barrido delta
A1a,A1a_d+0.00,v1,s1_depth,0.0424413,0.0425371,0.000121,0.79,9.58e-05,0.934,si,0.0,singlete barrido delta
A1a,A1a_d+0.26,v1,s1_delta,0.26,0.260026,0.000375,0.07,2.6e-05,0.993,si,0.0,singlete barrido delta
A1a,A1a_d+0.26,v1,s1_gamma1,0.25,0.249542,0.00113,-0.41,0.000458,0.993,si,0.0,singlete barrido delta
A1a,A1a_d+0.26,v1,s1_depth,0.0424413,0.042411,0.000125,-0.24,3.03e-05,0.993,si,0.0,singlete barrido delta
A1a,A1a_d+0.50,v1,s1_delta,0.5,0.499738,0.000391,-0.67,0.000262,1.066,si,0.0,singlete barrido delta
A1a,A1a_d+0.50,v1,s1_gamma1,0.25,0.251611,0.00118,1.37,0.00161,1.066,si,0.0,singlete barrido delta
A1a,A1a_d+0.50,v1,s1_depth,0.0424413,0.0422858,0.000129,-1.20,0.000155,1.066,si,0.0,singlete barrido delta
A1a,A1a_d+1.00,v1,s1_delta,1,1.00005,0.000374,0.12,4.61e-05,0.985,si,0.0,singlete barrido delta
A1a,A1a_d+1.00,v1,s1_gamma1,0.25,0.251427,0.00113,1.26,0.00143,0.985,si,0.0,singlete barrido delta
A1a,A1a_d+1.00,v1,s1_depth,0.0424413,0.0425284,0.000124,0.70,8.71e-05,0.985,si,0.0,singlete barrido delta
A1a,A1a_d+2.00,v1,s1_delta,2,2.00086,0.000367,2.35,0.000864,0.951,si,0.0,singlete barrido delta
A1a,A1a_d+2.00,v1,s1_gamma1,0.25,0.250183,0.00115,0.16,0.000183,0.951,si,0.0,singlete barrido delta
A1a,A1a_d+2.00,v1,s1_depth,0.0424413,0.0424028,0.000122,-0.31,3.85e-05,0.951,si,0.0,singlete barrido delta
A1b,A1b_g0.19,v1,s1_delta,0,-5.90779e-05,0.000255,-0.23,5.91e-05,1.052,si,0.0,singlete barrido Gamma
A1b,A1b_g0.19,v1,s1_gamma1,0.19,0.191395,0.000757,1.84,0.00139,1.052,si,0.0,singlete barrido Gamma
A1b,A1b_g0.19,v1,s1_depth,0.0558438,0.0554959,0.000144,-2.41,0.000348,1.052,si,0.0,singlete barrido Gamma
A1b,A1b_g0.22,v1,s1_delta,0,0.000372939,0.000295,1.26,0.000373,0.907,si,0.0,singlete barrido Gamma
A1b,A1b_g0.22,v1,s1_gamma1,0.22,0.22094,0.000881,1.07,0.00094,0.907,si,0.0,singlete barrido Gamma
A1b,A1b_g0.22,v1,s1_depth,0.0482288,0.048176,0.000126,-0.42,5.28e-05,0.907,si,0.0,singlete barrido Gamma
A1b,A1b_g0.25,v1,s1_delta,0,0.00066804,0.00037,1.81,0.000668,0.969,si,0.0,singlete barrido Gamma
A1b,A1b_g0.25,v1,s1_gamma1,0.25,0.249163,0.00111,-0.76,0.000837,0.969,si,0.0,singlete barrido Gamma
A1b,A1b_g0.25,v1,s1_depth,0.0424413,0.0424398,0.000124,-0.01,1.5e-06,0.969,si,0.0,singlete barrido Gamma
A1b,A1b_g0.30,v1,s1_delta,0,-0.000745239,0.00052,-1.43,0.000745,1.086,si,0.0,singlete barrido Gamma
A1b,A1b_g0.30,v1,s1_gamma1,0.3,0.300023,0.00157,0.01,2.3e-05,1.086,si,0.0,singlete barrido Gamma
A1b,A1b_g0.30,v1,s1_depth,0.0353678,0.0353105,0.000121,-0.47,5.72e-05,1.086,si,0.0,singlete barrido Gamma
A1b,A1b_g0.40,v1,s1_delta,0,0.0019459,0.000738,2.64,0.00195,0.916,si,0.0,singlete barrido Gamma
A1b,A1b_g0.40,v1,s1_gamma1,0.4,0.397054,0.00227,-1.30,0.00295,0.916,si,0.0,singlete barrido Gamma
A1b,A1b_g0.40,v1,s1_depth,0.0265258,0.0265604,9.76e-05,0.35,3.46e-05,0.916,si,0.0,singlete barrido Gamma
A1b,A1b_g0.60,v1,s1_delta,0,-0.000201614,0.00117,-0.17,0.000202,0.649,si,0.0,singlete barrido Gamma
A1b,A1b_g0.60,v1,s1_gamma1,0.6,0.602313,0.00376,0.61,0.00231,0.649,si,0.0,singlete barrido Gamma
A1b,A1b_g0.60,v1,s1_depth,0.0176839,0.0175202,6.76e-05,-2.42,0.000164,0.649,si,0.0,singlete barrido Gamma
A1b,A1b_g1.00,v1,s1_delta,0,-0.00734936,0.00232,-3.16,0.00735,0.531,si,0.0,singlete barrido Gamma
A1b,A1b_g1.00,v1,s1_gamma1,1,1.01009,0.0081,1.25,0.0101,0.531,si,0.0,singlete barrido Gamma
A1b,A1b_g1.00,v1,s1_depth,0.0106103,0.0105454,4.8e-05,-1.35,6.49e-05,0.531,si,0.0,singlete barrido Gamma
A1c,A1c_p0.5pc,v1,s1_delta,0,0.0125258,0.00648,1.93,0.0125,0.506,si,0.0,singlete profundidad 0.5%
A1c,A1c_p0.5pc,v1,s1_gamma1,0.25,0.234668,0.0192,-0.80,0.0153,0.506,si,0.0,singlete profundidad 0.5%
A1c,A1c_p0.5pc,v1,s1_depth,0.00166667,0.00176897,9.76e-05,1.05,0.000102,0.506,si,0.0,singlete profundidad 0.5%
A1c,A1c_p2pc,v1,s1_delta,0,0.000553365,0.00202,0.27,0.000553,0.627,si,0.0,singlete profundidad 2%
A1c,A1c_p2pc,v1,s1_gamma1,0.25,0.255052,0.00602,0.84,0.00505,0.627,si,0.0,singlete profundidad 2%
A1c,A1c_p2pc,v1,s1_depth,0.00666667,0.00655199,0.000104,-1.11,0.000115,0.627,si,0.0,singlete profundidad 2%
A1c,A1c_p5pc,v1,s1_delta,0,0.000590577,0.000907,0.65,0.000591,0.825,si,0.0,singlete profundidad 5%
A1c,A1c_p5pc,v1,s1_gamma1,0.25,0.253252,0.00271,1.20,0.00325,0.825,si,0.0,singlete profundidad 5%
A1c,A1c_p5pc,v1,s1_depth,0.0166667,0.0165236,0.000118,-1.22,0.000143,0.825,si,0.0,singlete profundidad 5%
A1c,A1c_p10pc,v1,s1_delta,0,0.00035569,0.000461,0.77,0.000356,0.930,si,0.0,singlete profundidad 10%
A1c,A1c_p10pc,v1,s1_gamma1,0.25,0.247374,0.00138,-1.90,0.00263,0.930,si,0.0,singlete profundidad 10%
A1c,A1c_p10pc,v1,s1_depth,0.0333333,0.0335512,0.000123,1.77,0.000218,0.930,si,0.0,singlete profundidad 10%
A1c,A1c_p20pc,v1,s1_delta,0,-5.50742e-05,0.000232,-0.24,5.51e-05,0.986,si,0.0,singlete profundidad 20%
A1c,A1c_p20pc,v1,s1_gamma1,0.25,0.249869,0.000699,-0.19,0.000131,0.986,si,0.0,singlete profundidad 20%
A1c,A1c_p20pc,v1,s1_depth,0.0666667,0.0666193,0.00012,-0.39,4.73e-05,0.986,si,0.0,singlete profundidad 20%
A2,A2_d0.00_q0.15,v1,s1_delta,0,-0.000328786,0.000515,-0.64,0.000329,0.885,si,0.0,doblete rejilla
A2,A2_d0.00_q0.15,v1,s1_quad,0.15,0.152778,0.00127,2.19,0.00278,0.885,si,0.0,doblete rejilla
A2,A2_d0.00_q0.15,v1,s1_gamma1,0.25,0.249158,0.002,-0.42,0.000842,0.885,si,0.0,doblete rejilla
A2,A2_d0.00_q0.15,v1,s1_depth,0.0212207,0.0213624,0.000122,1.16,0.000142,0.885,si,0.0,doblete rejilla
A2,A2_d0.00_q0.30,v1,s1_delta,0,-4.89328e-05,0.000594,-0.08,4.89e-05,0.951,si,0.1,doblete rejilla
A2,A2_d0.00_q0.30,v1,s1_quad,0.3,0.299874,0.000969,-0.13,0.000126,0.951,si,0.1,doblete rejilla
A2,A2_d0.00_q0.30,v1,s1_gamma1,0.25,0.247299,0.0016,-1.69,0.0027,0.951,si,0.1,doblete rejilla
A2,A2_d0.00_q0.30,v1,s1_depth,0.0212207,0.0213046,0.000103,0.81,8.4e-05,0.951,si,0.1,doblete rejilla
A2,A2_d0.00_q0.50,v1,s1_delta,0,-0.000735793,0.000548,-1.34,0.000736,0.941,si,0.0,doblete rejilla
A2,A2_d0.00_q0.50,v1,s1_quad,0.5,0.498683,0.00102,-1.30,0.00132,0.941,si,0.0,doblete rejilla
A2,A2_d0.00_q0.50,v1,s1_gamma1,0.25,0.249096,0.00144,-0.63,0.000904,0.941,si,0.0,doblete rejilla
A2,A2_d0.00_q0.50,v1,s1_depth,0.0212207,0.021286,9.31e-05,0.70,6.53e-05,0.941,si,0.0,doblete rejilla
A2,A2_d0.00_q0.70,v1,s1_delta,0,0.000449471,0.000538,0.84,0.000449,0.921,si,0.0,doblete rejilla
A2,A2_d0.00_q0.70,v1,s1_quad,0.7,0.699891,0.00104,-0.10,0.000109,0.921,si,0.0,doblete rejilla
A2,A2_d0.00_q0.70,v1,s1_gamma1,0.25,0.25367,0.00147,2.50,0.00367,0.921,si,0.0,doblete rejilla
A2,A2_d0.00_q0.70,v1,s1_depth,0.0212207,0.0210961,8.89e-05,-1.40,0.000125,0.921,si,0.0,doblete rejilla
A2,A2_d0.00_q1.00,v1,s1_delta,0,0.000131319,0.000541,0.24,0.000131,0.985,si,0.0,doblete rejilla
A2,A2_d0.00_q1.00,v1,s1_quad,1,1.00039,0.00107,0.36,0.000387,0.985,si,0.0,doblete rejilla
A2,A2_d0.00_q1.00,v1,s1_gamma1,0.25,0.24978,0.00156,-0.14,0.00022,0.985,si,0.0,doblete rejilla
A2,A2_d0.00_q1.00,v1,s1_depth,0.0212207,0.0212615,9.14e-05,0.45,4.08e-05,0.985,si,0.0,doblete rejilla
A2,A2_d0.00_q1.50,v1,s1_delta,0,-0.000359758,0.000549,-0.66,0.00036,1.015,si,0.1,doblete rejilla
A2,A2_d0.00_q1.50,v1,s1_quad,1.5,1.50032,0.00109,0.29,0.000321,1.015,si,0.1,doblete rejilla
A2,A2_d0.00_q1.50,v1,s1_gamma1,0.25,0.250022,0.00166,0.01,2.22e-05,1.015,si,0.1,doblete rejilla
A2,A2_d0.00_q1.50,v1,s1_depth,0.0212207,0.0212147,9.24e-05,-0.06,6e-06,1.015,si,0.1,doblete rejilla
A2,A2_d0.00_q2.00,v1,s1_delta,0,0.000130698,0.000518,0.25,0.000131,0.918,si,0.0,doblete rejilla
A2,A2_d0.00_q2.00,v1,s1_quad,2,1.9993,0.00103,-0.68,0.000698,0.918,si,0.0,doblete rejilla
A2,A2_d0.00_q2.00,v1,s1_gamma1,0.25,0.248413,0.0016,-0.99,0.00159,0.918,si,0.0,doblete rejilla
A2,A2_d0.00_q2.00,v1,s1_depth,0.0212207,0.0213001,8.81e-05,0.90,7.94e-05,0.918,si,0.0,doblete rejilla
A2,A2_d0.00_q2.65,v1,s1_delta,0,-0.000186025,0.000524,-0.36,0.000186,0.929,si,0.0,doblete rejilla
A2,A2_d0.00_q2.65,v1,s1_quad,2.65,2.65187,0.00105,1.78,0.00187,0.929,si,0.0,doblete rejilla
A2,A2_d0.00_q2.65,v1,s1_gamma1,0.25,0.24899,0.00164,-0.62,0.00101,0.929,si,0.0,doblete rejilla
A2,A2_d0.00_q2.65,v1,s1_depth,0.0212207,0.0212011,8.85e-05,-0.22,1.96e-05,0.929,si,0.0,doblete rejilla
A2,A2_d0.00_q3.50,v1,s1_delta,0,-0.000370473,0.00051,-0.73,0.00037,0.877,si,0.0,doblete rejilla
A2,A2_d0.00_q3.50,v1,s1_quad,3.5,3.50091,0.00102,0.89,0.000911,0.877,si,0.0,doblete rejilla
A2,A2_d0.00_q3.50,v1,s1_gamma1,0.25,0.248896,0.00161,-0.69,0.0011,0.877,si,0.0,doblete rejilla
A2,A2_d0.00_q3.50,v1,s1_depth,0.0212207,0.0211404,8.6e-05,-0.93,8.02e-05,0.877,si,0.0,doblete rejilla
A2,A2_d0.37_q0.15,v1,s1_delta,0.37,0.369657,0.000564,-0.61,0.000343,1.048,si,0.1,doblete rejilla
A2,A2_d0.37_q0.15,v1,s1_quad,0.15,0.148282,0.00149,-1.15,0.00172,1.048,si,0.1,doblete rejilla
A2,A2_d0.37_q0.15,v1,s1_gamma1,0.25,0.252937,0.00226,1.30,0.00294,1.048,si,0.1,doblete rejilla
A2,A2_d0.37_q0.15,v1,s1_depth,0.0212207,0.021025,0.000133,-1.47,0.000196,1.048,si,0.1,doblete rejilla
A2,A2_d0.37_q0.30,v1,s1_delta,0.37,0.370698,0.000582,1.20,0.000698,0.890,si,0.0,doblete rejilla
A2,A2_d0.37_q0.30,v1,s1_quad,0.3,0.300908,0.000947,0.96,0.000908,0.890,si,0.0,doblete rejilla
A2,A2_d0.37_q0.30,v1,s1_gamma1,0.25,0.250817,0.00157,0.52,0.000817,0.890,si,0.0,doblete rejilla
A2,A2_d0.37_q0.30,v1,s1_depth,0.0212207,0.0212509,9.94e-05,0.30,3.03e-05,0.890,si,0.0,doblete rejilla
A2,A2_d0.37_q0.50,v1,s1_delta,0.37,0.370031,0.000574,0.05,3.12e-05,1.025,si,0.0,doblete rejilla
A2,A2_d0.37_q0.50,v1,s1_quad,0.5,0.498979,0.00106,-0.96,0.00102,1.025,si,0.0,doblete rejilla
A2,A2_d0.37_q0.50,v1,s1_gamma1,0.25,0.249949,0.00151,-0.03,5.09e-05,1.025,si,0.0,doblete rejilla
A2,A2_d0.37_q0.50,v1,s1_depth,0.0212207,0.021261,9.7e-05,0.42,4.04e-05,1.025,si,0.0,doblete rejilla
A2,A2_d0.37_q0.70,v1,s1_delta,0.37,0.370205,0.00054,0.38,0.000205,0.967,si,0.0,doblete rejilla
A2,A2_d0.37_q0.70,v1,s1_quad,0.7,0.700058,0.00105,0.06,5.78e-05,0.967,si,0.0,doblete rejilla
A2,A2_d0.37_q0.70,v1,s1_gamma1,0.25,0.249893,0.00148,-0.07,0.000107,0.967,si,0.0,doblete rejilla
A2,A2_d0.37_q0.70,v1,s1_depth,0.0212207,0.021321,9.16e-05,1.10,0.0001,0.967,si,0.0,doblete rejilla
A2,A2_d0.37_q1.00,v1,s1_delta,0.37,0.37012,0.000571,0.21,0.00012,1.088,si,0.0,doblete rejilla
A2,A2_d0.37_q1.00,v1,s1_quad,1,0.999614,0.00113,-0.34,0.000386,1.088,si,0.0,doblete rejilla
A2,A2_d0.37_q1.00,v1,s1_gamma1,0.25,0.249836,0.00165,-0.10,0.000164,1.088,si,0.0,doblete rejilla
A2,A2_d0.37_q1.00,v1,s1_depth,0.0212207,0.0211465,9.61e-05,-0.77,7.42e-05,1.088,si,0.0,doblete rejilla
A2,A2_d0.37_q1.50,v1,s1_delta,0.37,0.369583,0.000506,-0.82,0.000417,0.873,si,0.0,doblete rejilla
A2,A2_d0.37_q1.50,v1,s1_quad,1.5,1.49989,0.00101,-0.11,0.00011,0.873,si,0.0,doblete rejilla
A2,A2_d0.37_q1.50,v1,s1_gamma1,0.25,0.247909,0.00153,-1.36,0.00209,0.873,si,0.0,doblete rejilla
A2,A2_d0.37_q1.50,v1,s1_depth,0.0212207,0.0212265,8.61e-05,0.07,5.88e-06,0.873,si,0.0,doblete rejilla
A2,A2_d0.37_q2.00,v1,s1_delta,0.37,0.369546,0.000571,-0.79,0.000454,1.064,si,0.0,doblete rejilla
A2,A2_d0.37_q2.00,v1,s1_quad,2,1.99746,0.00114,-2.23,0.00254,1.064,si,0.0,doblete rejilla
A2,A2_d0.37_q2.00,v1,s1_gamma1,0.25,0.253176,0.00177,1.79,0.00318,1.064,si,0.0,doblete rejilla
A2,A2_d0.37_q2.00,v1,s1_depth,0.0212207,0.0209802,9.4e-05,-2.56,0.00024,1.064,si,0.0,doblete rejilla
A2,A2_d0.37_q2.65,v1,s1_delta,0.37,0.369396,0.000526,-1.15,0.000604,0.926,si,0.0,doblete rejilla
A2,A2_d0.37_q2.65,v1,s1_quad,2.65,2.64809,0.00105,-1.82,0.00191,0.926,si,0.0,doblete rejilla
A2,A2_d0.37_q2.65,v1,s1_gamma1,0.25,0.250414,0.00165,0.25,0.000414,0.926,si,0.0,doblete rejilla
A2,A2_d0.37_q2.65,v1,s1_depth,0.0212207,0.0211415,8.81e-05,-0.90,7.91e-05,0.926,si,0.0,doblete rejilla
A2,A2_d0.37_q3.50,v1,s1_delta,0.37,0.369392,0.000506,-1.20,0.000608,0.859,si,0.1,doblete rejilla
A2,A2_d0.37_q3.50,v1,s1_quad,3.5,3.50081,0.00101,0.80,0.000809,0.859,si,0.1,doblete rejilla
A2,A2_d0.37_q3.50,v1,s1_gamma1,0.25,0.250627,0.0016,0.39,0.000627,0.859,si,0.1,doblete rejilla
A2,A2_d0.37_q3.50,v1,s1_depth,0.0212207,0.0211937,8.48e-05,-0.32,2.7e-05,0.859,si,0.1,doblete rejilla
A2,A2_d0.70_q0.15,v1,s1_delta,0.7,0.699161,0.000543,-1.55,0.000839,0.993,si,0.4,doblete rejilla
A2,A2_d0.70_q0.15,v1,s1_quad,0.15,0.151905,0.00132,1.45,0.0019,0.993,si,0.4,doblete rejilla
A2,A2_d0.70_q0.15,v1,s1_gamma1,0.25,0.245372,0.0021,-2.21,0.00463,0.993,si,0.4,doblete rejilla
A2,A2_d0.70_q0.15,v1,s1_depth,0.0212207,0.0214106,0.00013,1.46,0.00019,0.993,si,0.4,doblete rejilla
A2,A2_d0.70_q0.30,v1,s1_delta,0.7,0.699183,0.000587,-1.39,0.000817,0.893,si,0.1,doblete rejilla
A2,A2_d0.70_q0.30,v1,s1_quad,0.3,0.302017,0.000956,2.11,0.00202,0.893,si,0.1,doblete rejilla
A2,A2_d0.70_q0.30,v1,s1_gamma1,0.25,0.252084,0.00159,1.31,0.00208,0.893,si,0.1,doblete rejilla
A2,A2_d0.70_q0.30,v1,s1_depth,0.0212207,0.0211346,9.94e-05,-0.87,8.61e-05,0.893,si,0.1,doblete rejilla
A2,A2_d0.70_q0.50,v1,s1_delta,0.7,0.70041,0.000571,0.72,0.00041,1.017,si,0.1,doblete rejilla
A2,A2_d0.70_q0.50,v1,s1_quad,0.5,0.498733,0.00106,-1.20,0.00127,1.017,si,0.1,doblete rejilla
