serie,caso,version,parametro,verdadero,ajustado,sigma,z,abs_delta,chi2red,convergido,t_ajuste_s,nota
A1a,A1a_d+0.50,v0,s1_depth,0.0424413,0.0424476,5.56e-08,112.61,6.26e-06,,si,0.0,singlete barrido delta
A1a,A1a_d+1.00,v0,s1_delta,1,1,1.54e-07,-0.46,7.04e-08,,si,0.0,singlete barrido delta
A1a,A1a_d+1.00,v0,s1_gamma1,0.25,0.25,4.67e-07,-0.52,2.41e-07,,si,0.0,singlete barrido delta
A1a,A1a_d+1.00,v0,s1_depth,0.0424413,0.0424462,5.15e-08,93.94,4.84e-06,,si,0.0,singlete barrido delta
A1a,A1a_d+2.00,v0,s1_delta,2,2,1.49e-07,-0.81,1.2e-07,,si,0.0,singlete barrido delta
A1a,A1a_d+2.00,v0,s1_gamma1,0.25,0.25,4.65e-07,0.47,2.19e-07,,si,0.0,singlete barrido delta
A1a,A1a_d+2.00,v0,s1_depth,0.0424413,0.0424445,4.98e-08,64.37,3.2e-06,,si,0.0,singlete barrido delta
A1b,A1b_g0.19,v0,s1_delta,0,-7.66416e-15,9.7e-08,-0.00,7.66e-15,,si,0.0,singlete barrido Gamma
A1b,A1b_g0.19,v0,s1_gamma1,0.19,0.190001,2.88e-07,2.83,8.16e-07,,si,0.0,singlete barrido Gamma
A1b,A1b_g0.19,v0,s1_depth,0.0558438,0.0558504,5.57e-08,117.29,6.54e-06,,si,0.0,singlete barrido Gamma
A1b,A1b_g0.22,v0,s1_delta,0,-1.75755e-15,1.2e-07,-0.00,1.76e-15,,si,0.0,singlete barrido Gamma
A1b,A1b_g0.22,v0,s1_gamma1,0.22,0.219999,3.58e-07,-2.95,1.05e-06,,si,0.0,singlete barrido Gamma
A1b,A1b_g0.22,v0,s1_depth,0.0482288,0.0482355,5.15e-08,130.76,6.74e-06,,si,0.0,singlete barrido Gamma
A1b,A1b_g0.25,v0,s1_delta,0,-3.38539e-16,1.5e-07,-0.00,3.39e-16,,si,0.0,singlete barrido Gamma
A1b,A1b_g0.25,v0,s1_gamma1,0.25,0.250001,4.5e-07,2.60,1.17e-06,,si,0.0,singlete barrido Gamma
A1b,A1b_g0.25,v0,s1_depth,0.0424413,0.0424478,5.01e-08,129.91,6.51e-06,,si,0.0,singlete barrido Gamma
A1b,A1b_g0.30,v0,s1_delta,0,-1.59568e-13,2.08e-07,-0.00,1.6e-13,,si,0.0,singlete barrido Gamma
