# [fit_config]
# mode = discrete
# source = FE040723.ws5
# center_internal = 256.2628274
# vmax = 11.8788
# norm_factor = 883263.5302

# [spectrum]
# velocidad_mm/s	datos_norm	ajuste_norm	residuo	cuentas_dobladas
-3.95960000	0.97927322	0.98036432	-0.00109110	864956.322602
-3.86643294	0.98365911	0.98275802	0.00090109	868830.219900
-3.77326588	0.98483145	0.98460800	0.00022345	869865.700951
-3.68009882	0.98655789	0.98643552	0.00012238	871390.606370
-3.58693176	0.98873050	0.98835875	0.00037175	873309.592052
-3.49376471	0.98974699	0.99023676	-0.00048977	874207.419326
-3.40059765	0.99165524	0.99190878	-0.00025355	875892.905227
-3.30743059	0.99330526	0.99330236	0.00000290	877350.307472
-3.21426353	0.99351360	0.99442078	-0.00090718	877534.333017
-3.12109647	0.99569446	0.99530202	0.00039243	879460.602083
-3.02792941	0.99721722	0.99599114	0.00122608	880805.601506
-2.93476235	0.99636424	0.99652835	-0.00016412	880052.192528
-2.84159529	0.99656406	0.99694582	-0.00038177	880228.688199
-2.74842824	0.99652074	0.99726790	-0.00074716	880190.429466
-2.65526118	0.99637230	0.99751241	-0.00114011	880059.318081
-2.56209412	0.99704437	0.99769198	-0.00064762	880652.927323
-2.46892706	0.99746998	0.99781509	-0.00034512	881028.852695
-2.37576000	0.99608653	0.99788676	-0.00180023	879806.908608
-2.28259294	0.99766779	0.99790893	-0.00024113	881203.577459
-2.18942588	0.99862834	0.99788048	0.00074786	882051.992992
-2.09625882	0.99884041	0.99779694	0.00104347	882239.307514
-2.00309176	0.99842939	0.99764962	0.00077977	881876.266579
-1.90992471	0.99813128	0.99742413	0.00070716	881612.960329
-1.81675765	0.99851987	0.99709777	0.00142210	881956.184063
-1.72359059	0.99733372	0.99663515	0.00069857	880908.501841
-1.63042353	0.99614764	0.99598077	0.00016687	879860.880067
-1.53725647	0.99466813	0.99504702	-0.00037890	878554.079534
-1.44408941	0.99527602	0.99369667	0.00157935	879091.013439
-1.35092235	0.99094526	0.99172778	-0.00078252	875265.811114
-1.25775529	0.98792111	0.98891322	-0.00099210	872594.689958
-1.16458824	0.98280041	0.98528682	-0.00248642	868071.755861
-1.07142118	0.97883899	0.98191657	-0.00307758	864572.779331
-0.97825412	0.97780878	0.98096625	-0.00315747	863662.833512
-0.88508706	0.97877174	0.98292093	-0.00414919	864513.383172
-0.79192000	0.98022172	0.98590993	-0.00568821	865794.099486
-0.69875294	0.98540733	0.98862949	-0.00322216	870374.356831
-0.60558588	0.98851658	0.99084562	-0.00232903	873120.647608
-0.51241882	0.99019633	0.99261476	-0.00241843	874604.304491
-0.41925176	0.99294842	0.99399926	-0.00105084	877035.122489
-0.32608471	0.99329885	0.99505726	-0.00175841	877344.651442
-0.23291765	0.99536204	0.99584915	-0.00048710	879166.992071
-0.13975059	0.99550045	0.99643084	-0.00093039	879289.243452
-0.04658353	0.99600882	0.99684795	-0.00083912	879738.270371
0.04658353	0.99593066	0.99713437	-0.00120371	879669.230700
0.13975059	0.99572204	0.99731333	-0.00159129	879484.964699
0.23291765	0.99678637	0.99739904	-0.00061267	880425.045373
0.32608471	0.99606261	0.99739790	-0.00133528	879785.780938
0.41925176	0.99704409	0.99730904	-0.00026495	880652.682455
0.51241882	0.99775535	0.99712386	0.00063149	881280.911012
0.60558588	0.99740289	0.99682439	0.00057851	880969.599555
0.69875294	0.99720626	0.99637998	0.00082628	880795.924107
0.79192000	0.99700726	0.99574161	0.00126566	880620.155193
0.88508706	0.99555344	0.99483252	0.00072092	879336.046830
0.97825412	0.99407122	0.99353480	0.00053642	878026.854495
1.07142118	0.99244960	0.99167588	0.00077372	876594.534270
1.16458824	0.98939565	0.98904471	0.00035094	873897.090211
1.25775529	0.98358033	0.98555957	-0.00197924	868760.634554
1.35092235	0.97896523	0.98186264	-0.00289741	864684.281708
1.44408941	0.97674095	0.97997153	-0.00323058	862719.662544
1.53725647	0.97614032	0.98147951	-0.00533919	862189.142290
1.63042353	0.98068243	0.98501017	-0.00432775	866201.021134
1.72359059	0.98417300	0.98851027	-0.00433727	869284.119164
1.81675765	0.98858593	0.99123676	-0.00265083	873181.900253
1.90992471	0.99317041	0.99321067	-0.00004027	877231.199302
2.00309176	0.99471093	0.99461820	0.00009273	878591.890373
2.09625882	0.99478259	0.99562585	-0.00084326	878655.179583
2.18942588	0.99624088	0.99635350	-0.00011262	879943.235565
2.28259294	0.99789041	0.99688263	0.00100778	881400.202325
2.37576000	0.99697320	0.99726786	-0.00029467	880590.064254
2.46892706	0.99714612	0.99754584	-0.00039971	880742.805178
2.56209412	0.99756986	0.99774117	-0.00017131	881117.074972
2.65526118	0.99783857	0.99787035	-0.00003179	881354.415341
2.74842824	0.99839698	0.99794421	0.00045277	881847.639569
2.84159529	0.99753125	0.99796944	-0.00043820	881082.970209
2.93476235	0.99730538	0.99794958	-0.00064420	880883.474345
3.02792941	0.99807114	0.99788548	0.00018565	881559.834391
3.12109647	0.99807718	0.99777555	0.00030162	881565.172232
3.21426353	0.99684500	0.99761566	-0.00077066	880476.830681
3.30743059	0.99697346	0.99739880	-0.00042535	880590.295641
3.40059765	0.99741705	0.99711447	0.00030257	880982.100434
3.49376471	0.99678848	0.99674763	0.00004085	880426.911548
3.58693176	0.99574517	0.99627715	-0.00053198	879505.397381
3.68009882	0.99548897	0.99567371	-0.00018473	879279.106219
3.77326588	0.99465219	0.99489670	-0.00024451	878540.008272
3.86643294	0.99339625	0.99389056	-0.00049431	877430.674760
3.95960000	0.99250711	0.99258072	-0.00007361	876645.336191
4.05276706	0.99055271	0.99087133	-0.00031862	874919.086995
4.14593412	0.98847423	0.98864846	-0.00017423	873083.235716
4.23910118	0.98546399	0.98579252	-0.00032852	870424.405310
4.33226824	0.98266915	0.98219109	0.00047806	867955.824896
4.42543529	0.97789847	0.97772129	0.00017719	863742.058661
4.51860235	0.97081531	0.97226347	-0.00144816	857485.757619
4.61176941	0.96328436	0.96627605	-0.00299169	850833.942796
4.70493647	0.95999564	0.96236823	-0.00237259	847929.138841
4.79810353	0.96189819	0.96427414	-0.00237595	849609.594883
4.89127059	0.96804033	0.97100194	-0.00296162	855034.716382
4.98443765	0.97502280	0.97822951	-0.00320671	861202.080221
5.07760471	0.98235863	0.98383618	-0.00147755	867681.554717
5.17077176	0.98825230	0.98776014	0.00049217	872887.217605
5.26393882	0.99051133	0.99045615	0.00005518	874882.534119
5.35710588	0.99334310	0.99232741	0.00101569	877383.731772
5.45027294	0.99537991	0.99364781	0.00173210	879182.774081
5.54344000	0.99574071	0.99459233	0.00114838	879501.456770
5.63660706	0.99650590	0.99527206	0.00123385	880177.321145
5.72977412	0.99659235	0.99575818	0.00083417	880253.676904
5.82294118	0.99702527	0.99609678	0.00092848	880636.056133
5.91610824	0.99720454	0.99631764	0.00088690	880794.402932
6.00927529	0.99711075	0.99643948	0.00067127	880711.558167
6.10244235	0.99728239	0.99647309	0.00080930	880863.163575
6.19560941	0.99635750	0.99642307	-0.00006556	880046.245981
6.28877647	0.99656479	0.99628863	0.00027616	880229.335463
6.38194353	0.99446353	0.99606382	-0.00160028	878373.369665
6.47511059	0.99510978	0.99573706	-0.00062728	878944.179350
6.56827765	0.99393171	0.99529021	-0.00135850	877903.634018
6.66144471	0.99340368	0.99469706	-0.00129338	877437.242188
6.75461176	0.99252326	0.99392139	-0.00139813	876659.595116
6.84777882	0.99243341	0.99291516	-0.00048175	876580.234452
6.94094588	0.99082021	0.99161831	-0.00079810	875155.358095
7.03411294	0.99015636	0.98996422	0.00019213	874568.999423
7.12728000	0.98836899	0.98789866	0.00047034	872990.286682
7.22044706	0.98543179	0.98542278	0.00000901	870395.962363
7.31361412	0.98424192	0.98265522	0.00158670	869344.991920
7.40678118	0.98306467	0.97984557	0.00321910	868305.172190
7.49994824	0.97838683	0.97720012	0.00118672	864173.409446
7.59311529	0.97486123	0.97451995	0.00034129	861059.375587
7.68628235	0.96905697	0.97100351	-0.00194654	855932.678168
7.77944941	0.96423398	0.96554989	-0.00131591	851672.708454
7.87261647	0.95838987	0.95777579	0.00061408	846510.822409
7.96578353	0.95446754	0.95027068	0.00419686	843046.369665
8.05895059	0.95505637	0.94929076	0.00576560	843566.457155
8.15211765	0.95962695	0.95692229	0.00270466	847603.484802
8.24528471	0.96790000	0.96746906	0.00043094	854910.771100
8.33845176	0.97542679	0.97631416	-0.00088737	861558.909020
8.43161882	0.98322717	0.98262303	0.00060414	868448.700717
8.52478588	0.98840547	0.98695930	0.00144617	873022.505359
8.61795294	0.99163222	0.98996742	0.00166480	875872.572443
8.71112000	0.99391816	0.99210539	0.00181277	877891.665073
8.80428706	0.99585239	0.99366705	0.00218534	879600.099170
8.89745412	0.99687521	0.99483796	0.00203725	880503.514360
8.99062118	0.99850642	0.99573688	0.00276954	881944.309657
9.08378824	0.99652011	0.99644155	0.00007855	880189.867975
9.17695529	0.99752557	0.99700416	0.00052141	881077.955121
9.27012235	0.99977554	0.99746061	0.00231493	883065.271594
9.36328941	0.99949726	0.99783620	0.00166106	882819.480817
9.45645647	0.99989342	0.99814914	0.00174428	883169.389494
9.54962353	0.99977100	0.99841277	0.00135823	883061.261756
9.64279059	0.99964742	0.99863707	0.00101035	882952.108748
9.73595765	0.99980555	0.99882959	0.00097596	883091.779289
9.82912471	0.99938266	0.99899616	0.00038651	882718.259955
9.92229176	0.99966776	0.99914131	0.00052644	882970.073364
10.01545882	0.99983270	0.99926864	0.00056407	883115.763556
10.10862588	0.99968467	0.99938098	0.00030369	882985.011680
10.20179294	0.99988887	0.99948066	0.00040821	883165.374406
10.29496000	1.00026459	0.99956954	0.00069505	883497.231429
10.38812706	1.00028079	0.99964915	0.00063164	883511.538365
10.48129412	1.00045824	0.99972077	0.00073747	883668.278066
10.57446118	1.00001194	0.99978545	0.00022649	883274.077349
10.66762824	0.99919772	0.99984408	-0.00064636	882554.904774
10.76079529	1.00033753	0.99989740	0.00044013	883561.659672
10.85396235	1.00003319	0.99994606	0.00008713	883292.846607
10.94712941	0.99998745	0.99999058	-0.00000313	883252.446698
11.04029647	0.99998114	1.00003144	-0.00005031	883246.868318
11.13346353	0.99985771	1.00006903	-0.00021132	883137.850551
11.22663059	0.99949206	1.00010371	-0.00061164	882814.889686
11.31979765	0.99989364	1.00013576	-0.00024212	883169.584274
11.41296471	1.00042913	1.00016545	0.00026368	883642.564061
11.50613176	1.00070119	1.00019302	0.00050818	883882.869926
11.59929882	1.00008564	1.00021866	-0.00013302	883339.175640
11.69246588	0.99951129	1.00024255	-0.00073126	882831.867439
11.78563294	1.00007423	1.00026485	-0.00019063	883329.091475
11.87880000	1.00006462	1.00028570	-0.00022108	883320.610891
