# velocidad_mm_s datos_norm ajuste_norm residuo cuentas_dobladas
-4.518602353 0.995122461 0.9954721611 -0.000349700132 417599.6129
-4.425435294 0.994887243 0.9957061871 -0.0008189441115 417500.9045
-4.332268235 0.9914166444 0.9955274168 -0.004110772447 416044.4801
-4.239101176 0.9947475729 0.9950120567 -0.0002644838504 417442.2924
-4.145934118 0.9932107009 0.9946627101 -0.001452009138 416797.3495
-4.052767059 0.9942889513 0.9946538781 -0.0003649268765 417249.8335
-3.9596 0.9938762168 0.9943455837 -0.0004693669017 417076.6309
-3.866432941 0.9937724258 0.9938021098 -2.968402405e-05 417033.0754
-3.773265882 0.9933574438 0.9929129001 0.0004445437043 416858.9297
-3.680098824 0.9908401396 0.9909375236 -9.738398222e-05 415802.5519
-3.586931765 0.9912956796 0.9870144468 0.004281232756 415993.7176
-3.493764706 0.9871955396 0.9802916923 0.006903847259 414273.1084
-3.400597647 0.9819901473 0.9739372208 0.008052926524 412088.684
-3.307430588 0.9726035262 0.975324536 -0.002721009859 408149.6217
-3.214263529 0.9670003659 0.979091026 -0.01209066012 405798.2753
-3.121096471 0.9706820151 0.9803966231 -0.00971460791 407343.2664
-3.027929412 0.9779624406 0.980035392 -0.002072951401 410398.4711
-2.934762353 0.9847133272 0.9820013663 0.002711960879 413231.4568
-2.841595294 0.988553524 0.9864856764 0.002067847595 414842.9817
-2.748428235 0.9877574238 0.9895258901 -0.00176846631 414508.9011
-2.655261176 0.9926026039 0.9909080152 0.001694588695 416542.1638
-2.562094118 0.991374611 0.9913487342 2.587676983e-05 416026.8409
-2.468927059 0.9920383625 0.9914899736 0.0005483888868 416305.3819
-2.37576 0.9901972119 0.9910433442 -0.0008461322881 415532.7496
-2.282592941 0.9912508787 0.989247093 0.002003785706 415974.9171
-2.189425882 0.9882172877 0.9855328259 0.002684461776 414701.8814
-2.096258824 0.9860063352 0.9803837446 0.005622590577 413774.063
-2.003091765 0.9820564085 0.977950084 0.004106324542 412116.4903
-1.909924706 0.975943814 0.9787412938 -0.002797479824 409551.3616
-1.816757647 0.9739666913 0.9787764229 -0.004809731566 408721.6691
-1.723590588 0.9782266502 0.9815750013 -0.003348351146 410509.3458
-1.630423529 0.985072983 0.9859854141 -0.0009124311773 413382.385
-1.537256471 0.9851581731 0.9887144812 -0.003556308038 413418.1348
-1.444089412 0.9879492155 0.9897663615 -0.001817146004 414589.3858
-1.350922353 0.9880962924 0.9895076461 -0.001411353694 414651.1061
-1.257755294 0.9875664413 0.9884511764 -0.0008847350381 414428.756
-1.164588235 0.9885772007 0.9867871337 0.001790067002 414852.9176
-1.071421176 0.9863918365 0.9854504294 0.0009414070425 413935.8372
-0.9782541176 0.9852222575 0.9845869017 0.0006353558565 413445.0276
-0.8850870588 0.9821028984 0.9828358242 -0.0007329257363 412135.9996
-0.79192 0.9810998136 0.9797990642 0.001300749442 411715.0586
-0.6987529412 0.9761175693 0.9738898979 0.002227671383 409624.2774
-0.6055858824 0.9685612945 0.9654853639 0.003075930624 406453.3135
-0.5124188235 0.9563410996 0.9605161086 -0.004175008951 401325.1521
-0.4192517647 0.9441522918 0.9582120368 -0.01405974495 396210.1621
-0.3260847059 0.9311095151 0.9527453099 -0.02163579471 390736.8071
-0.2329176471 0.9121270441 0.9408020026 -0.02867495855 382770.8804
-0.1397505882 0.9157187701 0.9302794326 -0.01456066253 384278.1355
-0.04658352941 0.9351508283 0.9319361096 0.003214718741 392432.7298
0.04658352941 0.9483414415 0.9369362353 0.0114052062 397968.1239
0.1397505882 0.954241247 0.9414703791 0.01277086797 400443.9564
0.2329176471 0.9595276793 0.9433139083 0.01621377096 402662.3889
0.3260847059 0.9689668205 0.9495835156 0.0193833049 406623.4911
0.4192517647 0.9715105656 0.9581906686 0.01331989702 407690.9647
0.5124188235 0.9712010928 0.9643031985 0.006897894333 407561.0955
0.6055858824 0.9711669323 0.9686841541 0.002482778172 407546.7602
0.6987529412 0.9744015294 0.9729599551 0.001441574274 408904.1474
0.79192 0.9803925662 0.9780826072 0.002309958933 411418.2647
0.8850870588 0.9844518907 0.9818114583 0.00264043244 413121.7459
