# velocidad_mm/s	Normos_PLT_exp	Doblado_256p5_norm	diferencia	Doblado_256p5_cuentas
-3.40060000	0.981992	0.981992	-0.00000018	412092.000000
-3.30740000	0.972583	0.972583	-0.00000023	408143.500000
-3.21430000	0.966974	0.966973	-0.00000068	405789.500000
-3.12110000	0.970673	0.970673	-0.00000016	407342.000000
-3.02790000	0.977960	0.977960	-0.00000012	410400.000000
-2.93480000	0.984714	0.984713	-0.00000086	413234.000000
-2.84160000	0.988554	0.988553	-0.00000075	414845.500000
-2.74840000	0.987740	0.987739	-0.00000052	414504.000000
-2.65530000	0.992612	0.992611	-0.00000060	416548.500000
-2.56210000	0.991360	0.991359	-0.00000083	416023.000000
-2.46890000	0.992040	0.992039	-0.00000050	416308.500000
-2.37580000	0.990186	0.990186	-0.00000043	415530.500000
-2.28260000	0.991250	0.991250	-0.00000045	415977.000000
-2.18940000	0.988213	0.988212	-0.00000051	414702.500000
-2.09630000	0.986006	0.986006	-0.00000011	413776.500000
-2.00310000	0.982059	0.982059	-0.00000046	412120.000000
-1.90990000	0.975928	0.975927	-0.00000077	409547.000000
-1.81680000	0.973940	0.973940	-0.00000015	408713.000000
-1.72360000	0.978220	0.978220	-0.00000038	410509.000000
-1.63040000	0.985088	0.985087	-0.00000074	413391.000000
-1.53730000	0.985145	0.985144	-0.00000055	413415.000000
-1.44410000	0.987948	0.987948	-0.00000001	414591.500000
-1.35090000	0.988089	0.988089	-0.00000042	414650.500000
-1.25780000	0.987558	0.987557	-0.00000082	414427.500000
-1.16460000	0.988582	0.988582	-0.00000015	414857.500000
-1.07140000	0.986383	0.986382	-0.00000061	413934.500000
-0.97830000	0.985222	0.985222	-0.00000010	413447.500000
-0.88510000	0.982092	0.982092	-0.00000010	412134.000000
-0.79190000	0.981098	0.981097	-0.00000098	411716.500000
-0.69880000	0.976116	0.976115	-0.00000052	409626.000000
-0.60560000	0.968568	0.968568	-0.00000049	406458.500000
-0.51240000	0.956335	0.956335	-0.00000033	401325.000000
-0.41930000	0.944142	0.944141	-0.00000085	396208.000000
-0.32610000	0.931114	0.931114	-0.00000040	390741.000000
-0.23290000	0.912086	0.912086	-0.00000020	382756.000000
-0.13980000	0.915689	0.915689	-0.00000019	384268.000000
-0.04660000	0.935153	0.935153	-0.00000031	392436.000000
0.04660000	0.948348	0.948347	-0.00000096	397973.000000
0.13980000	0.954237	0.954236	-0.00000051	400444.500000
0.23290000	0.959514	0.959514	-0.00000048	402659.000000
0.32610000	0.968979	0.968979	-0.00000043	406631.000000
0.41930000	0.971506	0.971506	-0.00000032	407691.500000
0.51240000	0.971192	0.971191	-0.00000087	407559.500000
0.60560000	0.971158	0.971158	-0.00000023	407545.500000
0.69880000	0.974390	0.974389	-0.00000096	408901.500000
0.79190000	0.980389	0.980388	-0.00000090	411419.000000
0.88510000	0.984447	0.984446	-0.00000075	413122.000000
0.97830000	0.986133	0.986132	-0.00000082	413829.500000
1.07140000	0.988914	0.988913	-0.00000092	414996.500000
1.16460000	0.988338	0.988338	-0.00000040	414755.000000
1.25780000	0.988671	0.988670	-0.00000098	414894.500000
1.35090000	0.988436	0.988435	-0.00000070	414796.000000
1.44410000	0.990128	0.990127	-0.00000081	415506.000000
1.53730000	0.987913	0.987912	-0.00000076	414576.500000
1.63040000	0.987498	0.987498	-0.00000039	414402.500000
1.72360000	0.985351	0.985351	-0.00000042	413501.500000
1.81680000	0.981364	0.981364	-0.00000009	411828.500000
1.90990000	0.975698	0.975697	-0.00000073	409450.500000
2.00310000	0.973775	0.973774	-0.00000076	408643.500000
2.09630000	0.982142	0.982142	-0.00000006	412155.000000
2.18940000	0.984335	0.984334	-0.00000075	413075.000000
2.28260000	0.988566	0.988565	-0.00000083	414850.500000
2.37580000	0.992617	0.992616	-0.00000083	416550.500000
2.46890000	0.989856	0.989856	-0.00000047	415392.000000
2.56210000	0.992845	0.992845	-0.00000007	416646.500000
2.65530000	0.991022	0.991022	-0.00000002	415881.500000
2.74840000	0.989768	0.989767	-0.00000064	415355.000000
2.84160000	0.989060	0.989060	-0.00000037	415058.000000
2.93480000	0.986535	0.986535	-0.00000010	413998.500000
3.02790000	0.985415	0.985415	-0.00000008	413528.500000
3.12110000	0.983887	0.983886	-0.00000074	412887.000000
3.21430000	0.979202	0.979201	-0.00000061	410921.000000
3.30740000	0.971993	0.971993	-0.00000001	407896.000000
3.40060000	0.968930	0.968930	-0.00000028	406610.500000
3.49380000	0.971518	0.971518	-0.00000041	407696.500000
3.58690000	0.981546	0.981545	-0.00000098	411904.500000
3.68010000	0.986655	0.986654	-0.00000095	414048.500000
3.77330000	0.989594	0.989593	-0.00000059	415282.000000
3.86640000	0.993317	0.993317	-0.00000024	416844.500000
3.95960000	0.993178	0.993177	-0.00000065	416786.000000
4.05280000	0.993105	0.993105	-0.00000033	416755.500000
4.14590000	0.995012	0.995011	-0.00000097	417555.500000
4.23910000	0.995187	0.995186	-0.00000082	417629.000000
4.33230000	0.996348	0.996348	-0.00000014	418116.500000
4.42540000	0.995784	0.995783	-0.00000090	417879.500000
4.51860000	0.994611	0.994611	-0.00000031	417387.500000
4.61180000	0.995429	0.995428	-0.00000096	417730.500000
4.70490000	0.996590	0.996590	-0.00000027	418218.000000
4.79810000	0.993788	0.993787	-0.00000061	417042.000000
4.89130000	0.995294	0.995293	-0.00000059	417674.000000
4.98440000	0.994491	0.994490	-0.00000064	417337.000000
5.07760000	0.991027	0.991027	-0.00000025	415883.500000
5.17080000	0.992305	0.992304	-0.00000099	416419.500000
5.26390000	0.992786	0.992785	-0.00000064	416621.500000
5.35710000	0.993214	0.993213	-0.00000090	416801.000000
5.45030000	0.995725	0.995725	-0.00000028	417855.000000
