# velocidad_mm/s	datos_norm	ajuste_norm	residuo	cuentas_dobladas
-3.77326588	0.99335713	0.99298699	0.00037015	416859.403749
-3.68009882	0.99083824	0.99139634	-0.00055810	415802.357866
-3.58693176	0.99129635	0.98902039	0.00227596	415994.599683
-3.49376471	0.98719428	0.98540043	0.00179385	414273.180636
-3.40059765	0.98199018	0.98003921	0.00195097	412089.295599
-3.30743059	0.97259943	0.97336620	-0.00076677	408148.492610
-3.21426353	0.96699511	0.96891175	-0.00191664	405796.656810
-3.12109647	0.97068005	0.97101028	-0.00033023	407343.032837
-3.02792941	0.97796170	0.97722956	0.00073213	410398.753122
-2.93476235	0.98471302	0.98293956	0.00177346	413231.925833
-2.84159529	0.98855320	0.98682772	0.00172547	414843.446218
-2.74842824	0.98775384	0.98923442	-0.00148058	414507.997145
-2.65526118	0.99260395	0.99064683	0.00195712	416543.332420
-2.56209412	0.99137149	0.99138349	-0.00001200	416026.132485
-2.46892706	0.99203830	0.99160614	0.00043216	416305.956980
-2.37576000	0.99019479	0.99135593	-0.00116114	415532.334644
-2.28259294	0.99125036	0.99055837	0.00069199	415975.301256
-2.18942588	0.98821613	0.98898687	-0.00077074	414701.995473
-2.09625882	0.98600598	0.98619687	-0.00019089	413774.512469
-2.00309176	0.98205653	0.98164074	0.00041579	412117.137616
-1.90992471	0.97594048	0.97605507	-0.00011459	409550.557171
-1.81675765	0.97396147	0.97412454	-0.00016307	408720.070174
-1.72359059	0.97822508	0.97815977	0.00006531	410509.281992
-1.63042353	0.98507534	0.98308454	0.00199081	413383.973993
-1.53725647	0.98515537	0.98623831	-0.00108294	413417.556610
-1.44408941	0.98794871	0.98782813	0.00012058	414589.775775
-1.35092235	0.98809459	0.98838668	-0.00029209	414650.994335
-1.25775529	0.98756446	0.98822715	-0.00066269	414428.524343
-1.16458824	0.98857778	0.98747699	0.00110079	414853.762762
-1.07142118	0.98638982	0.98614071	0.00024911	413935.590594
-0.97825412	0.98522192	0.98412992	0.00109199	413445.483590
-0.88508706	0.98210060	0.98127272	0.00082788	412135.630795
-0.79192000	0.98109903	0.97732282	0.00377621	411715.324469
-0.69875294	0.97611691	0.97199568	0.00412124	409624.595138
-0.60558588	0.96856217	0.96503874	0.00352343	406454.270127
-0.51241882	0.95633965	0.95619825	0.00014140	401325.124008
-0.41925176	0.94414997	0.94483149	-0.00068152	396209.763297
-0.32608471	0.93111001	0.93016524	0.00094477	390737.580428
-0.23291765	0.91211918	0.91602121	-0.00390202	382768.135830
-0.13975059	0.91571299	0.91515086	0.00056213	384276.266090
-0.04658353	0.93515091	0.93015652	0.00499439	392433.332971
0.04658353	0.94834221	0.94730016	0.00104205	397969.023240
0.13975059	0.95424010	0.95927497	-0.00503487	400444.056628
0.23291765	0.95952480	0.96620701	-0.00668221	402661.763857
0.32608471	0.96896872	0.96968028	-0.00071156	406624.876027
0.41925176	0.97150939	0.97114063	0.00036876	407691.063423
0.51241882	0.97119898	0.97197950	-0.00078051	407560.801238
0.60558588	0.97116497	0.97344605	-0.00228108	407546.527740
0.69875294	0.97439895	0.97602301	-0.00162405	408903.659104
0.79192000	0.98039147	0.97923476	0.00115671	411418.400343
0.88508706	0.98445058	0.98234910	0.00210148	413121.792753
0.97825412	0.98613821	0.98495047	0.00118775	413830.004527
1.07142118	0.98891003	0.98694558	0.00196445	414993.190846
1.16458824	0.98834462	0.98838433	-0.00003971	414755.917322
1.25775529	0.98867328	0.98933876	-0.00066549	414893.835791
1.35092235	0.98844108	0.98984951	-0.00140842	414796.397506
1.44408941	0.99012559	0.98989853	0.00022706	415503.295599
1.53725647	0.98792013	0.98937749	-0.00145735	414577.782552
1.63042353	0.98749752	0.98803070	-0.00053317	414400.434327
1.72359059	0.98535243	0.98538494	-0.00003251	413500.254820
1.81675765	0.98136533	0.98093713	0.00042820	411827.078151
1.90992471	0.97571058	0.97583830	-0.00012772	409454.077556
2.00309176	0.97379785	0.97514538	-0.00134753	408651.405956
2.09625882	0.98213515	0.98001721	0.00211794	412150.131399
2.18942588	0.98434367	0.98518865	-0.00084498	413076.929774
2.28259294	0.98856974	0.98857973	-0.00000999	414850.389582
2.37576000	0.99261103	0.99054849	0.00206255	416546.304102
2.46892706	0.98987098	0.99162636	-0.00175539	415396.447313
2.56209412	0.99283935	0.99212387	0.00071548	416642.117240
2.65526118	0.99102579	0.99218140	-0.00115561	415881.060025
2.74842824	0.98977311	0.99182633	-0.00205322	415355.378820
2.84159529	0.98906149	0.99099135	-0.00192986	415056.748025
2.93476235	0.98654122	0.98949871	-0.00295750	413999.123439
3.02792941	0.98541872	0.98701868	-0.00159997	413528.070218
3.12109647	0.98388570	0.98305713	0.00082858	412884.745766
3.21426353	0.97920346	0.97728312	0.00192034	410919.855046
3.30743059	0.97200746	0.97106518	0.00094228	407900.075288
3.40059765	0.96894146	0.96907504	-0.00013358	406613.438828
3.49376471	0.97153321	0.97360824	-0.00207503	407701.059430
3.58693176	0.98154455	0.98026012	0.00128442	411902.286536
3.68009882	0.98665306	0.98557075	0.00108232	414046.058904
3.77326588	0.98959703	0.98914828	0.00044875	415281.488678
3.86643294	0.99331891	0.99149369	0.00182522	416843.361841
3.95960000	0.99318652	0.99306226	0.00012426	416787.804066
4.05276706	0.99311131	0.99414634	-0.00103503	416756.245749
4.14593412	0.99500886	0.99492151	0.00008735	417552.544185
4.23910118	0.99519334	0.99549350	-0.00030016	417629.963188
4.33226824	0.99634959	0.99592750	0.00042209	418115.178377
4.42543529	0.99579021	0.99626495	-0.00047473	417880.437707
4.51860235	0.99461905	0.99653295	-0.00191391	417388.960920
4.61176941	0.99542907	0.99674979	-0.00132073	417728.884494
4.70493647	0.99658938	0.99692811	-0.00033873	418215.806921
4.79810353	0.99379843	0.99707684	-0.00327841	417044.592284
4.89127059	0.99529627	0.99720248	-0.00190621	417673.154025
4.98443765	0.99449265	0.99730978	-0.00281713	417335.919599
5.07760471	0.99103790	0.99740234	-0.00636444	415886.144945
5.17077176	0.99230826	0.99748289	-0.00517463	416419.245188
5.26393882	0.99279035	0.99755354	-0.00476319	416621.554360
5.35710588	0.99321827	0.99761595	-0.00439768	416801.130803
5.45027294	0.99572311	0.99767144	-0.00194833	417852.278612
5.54344000	0.99451422	0.99772106	-0.00320685	417344.969974
5.63660706	0.99574166	0.99776567	-0.00202401	417860.062284
5.72977412	0.99695876	0.99780597	-0.00084721	418370.814268
5.82294118	0.99674974	0.99784252	-0.00109278	418283.101347
5.91610824	0.99988853	0.99787582	0.00201270	419600.282596
6.00927529	0.99714699	0.99790626	-0.00075928	418449.803497
6.10244235	0.99718813	0.99793419	-0.00074606	418467.071330
6.19560941	0.99894426	0.99795989	0.00098437	419204.026050
6.28877647	0.99901365	0.99798361	0.00103004	419233.142134
6.38194353	0.99969119	0.99800555	0.00168563	419517.469449
6.47511059	0.99792178	0.99802591	-0.00010413	418774.945631
6.56827765	0.99835650	0.99804484	0.00031166	418957.372585
6.66144471	0.99677996	0.99806247	-0.00128252	418295.780844
6.75461176	0.99771908	0.99807894	-0.00035986	418689.882217
6.84777882	0.99912385	0.99809434	0.00102951	419279.390142
6.94094588	1.00087726	0.99810877	0.00276849	420015.201608
7.03411294	0.99910101	0.99812231	0.00097870	419269.804066
7.12728000	0.99774901	0.99813504	-0.00038603	418702.439406
7.22044706	0.99744314	0.99814702	-0.00070388	418574.083247
7.31361412	0.99839991	0.99815832	0.00024160	418975.590611
7.40678118	0.99884133	0.99816897	0.00067236	419160.830126
7.49994824	0.99844853	0.99817905	0.00026949	418995.993757
7.59311529	0.99711321	0.99818857	-0.00107536	418435.629096
7.68628235	0.99980063	0.99819760	0.00160303	419563.397541
7.77944941	0.99642110	0.99820615	-0.00178505	418145.188543
7.87261647	0.99837225	0.99821426	0.00015799	418963.983039
7.96578353	0.99659840	0.99822197	-0.00162357	418219.592844
8.05895059	0.99638358	0.99822929	-0.00184571	418129.443364
8.15211765	0.99826775	0.99823626	0.00003149	418920.130812
8.24528471	1.00026707	0.99824290	0.00202417	419759.137055
8.33845176	0.99651420	0.99824922	-0.00173501	418184.257622
8.43161882	0.99812249	0.99825524	-0.00013275	418859.172151
8.52478588	0.99787570	0.99826099	-0.00038529	418755.605883
8.61795294	0.99840056	0.99826648	0.00013409	418975.862962
8.71112000	0.99902684	0.99827172	0.00075513	419238.680076
8.80428706	0.99881149	0.99827672	0.00053476	419148.306334
8.89745412	0.99862791	0.99828151	0.00034640	419071.270100
8.99062118	0.99768927	0.99828609	-0.00059682	418677.372603
9.08378824	0.99548122	0.99829047	-0.00280925	417750.770643
9.17695529	0.99927674	0.99829467	0.00098207	419343.550428
9.27012235	0.99662456	0.99829869	-0.00167413	418230.569622
9.36328941	1.00014132	0.99830255	0.00183877	419706.366386
9.45645647	0.99915260	0.99830624	0.00084637	419291.455246
9.54962353	1.00066804	0.99830978	0.00235826	419927.404301
9.64279059	1.00006877	0.99831318	0.00175559	419675.921306
9.73595765	0.99961839	0.99831644	0.00130195	419486.920728
9.82912471	0.99988718	0.99831957	0.00156761	419599.719138
9.92229176	0.99910280	0.99832257	0.00078023	419270.555481
10.01545882	1.00156571	0.99832546	0.00324025	420304.108177
10.10862588	0.99987424	0.99832823	0.00154601	419594.287079
10.20179294	0.99943223	0.99833090	0.00110133	419408.800109
10.29496000	1.00094902	0.99833346	0.00261556	420045.316553
10.38812706	0.99732330	0.99833592	-0.00101261	418523.794977
10.48129412	1.00071268	0.99833828	0.00237440	419946.138194
10.57446118	0.99933761	0.99834056	0.00099705	419369.092853
10.66762824	0.99971104	0.99834275	0.00136829	419525.800687
10.76079529	0.99828507	0.99834485	-0.00005978	418927.399196
10.85396235	0.99987900	0.99834687	0.00153212	419596.283690
10.94712941	1.00088875	0.99834882	0.00253992	420020.022101
11.04029647	1.00017577	0.99835069	0.00182508	419720.825029
11.13346353	0.99851651	0.99835250	0.00016401	419024.519238
11.22663059	1.00000999	0.99835423	0.00165576	419651.256528
11.31979765	0.99877498	0.99835590	0.00041908	419132.985832
11.41296471	1.00093131	0.99835750	0.00257381	420037.883934
11.50613176	0.99854862	0.99835905	0.00018958	419037.997145
11.59929882	1.00035600	0.99836053	0.00199547	419796.456402
11.69246588	1.00116634	0.99836196	0.00280438	420136.514168
11.78563294	1.00077787	0.99836334	0.00241453	419973.492084
11.87880000	0.99939748	0.99836466	0.00103282	419394.218000
