-12.12660000	771641.904404
-12.03148941	771459.285243
-11.93637882	770856.145514
-11.84126824	771079.802569
-11.74615765	771439.701702
-11.65104706	771484.515054
-11.55593647	771263.995729
-11.46082588	772156.562731
-11.36571529	772280.007785
-11.27060471	771910.433786
-11.17549412	770496.594051
-11.08038353	771322.939328
-10.98527294	771342.721240
-10.89016235	772290.400436
-10.79505176	770558.376053
-10.69994118	770995.311595
-10.60483059	771076.259890
-10.50972000	771553.929999
-10.41460941	772074.024596
-10.31949882	771579.560702
-10.22438824	770734.827891
-10.12927765	770634.087054
-10.03416706	771240.301539
-9.93905647	771888.369570
-9.84394588	771124.822621
-9.74883529	770868.875810
-9.65372471	771626.790573
-9.55861412	769933.569426
-9.46350353	771563.456352
-9.36839294	772184.278003
-9.27328235	771044.640244
-9.17817176	770369.807567
-9.08306118	771101.379839
-8.98795059	771601.122403
-8.89284000	772124.102623
-8.79772941	771182.001000
-8.70261882	771571.184679
-8.60750824	770925.425971
-8.51239765	771073.290271
-8.41728706	770731.731023
-8.32217647	771141.779487
-8.22706588	771930.406221
-8.13195529	771878.301811
-8.03684471	771278.221240
-7.94173412	771091.652269
-7.84662353	771121.881838
-7.75151294	771964.304083
-7.65640235	771145.324105
-7.56129176	770971.066759
-7.46618118	771029.592324
-7.37107059	771533.889592
-7.27596000	771079.380324
-7.18084941	771472.894923
-7.08573882	771067.033107
-6.99062824	770372.031320
-6.89551765	771516.083086
-6.80040706	770637.653268
-6.70529647	771021.123463
-6.61018588	769995.876295
-6.51507529	770514.322378
-6.41996471	769622.053432
-6.32485412	769240.312625
-6.22974353	768779.881808
-6.13463294	767865.718029
-6.03952235	766803.268432
-5.94441176	766007.665626
-5.84930118	761979.607894
-5.75419059	755929.215605
-5.65908000	741927.089053
-5.56396941	727125.177107
-5.46885882	713909.899861
-5.37374824	713843.546891
-5.27863765	733975.049373
-5.18352706	750982.676712
-5.08841647	759688.442357
-4.99330588	764629.649330
-4.89819529	765129.942025
-4.80308471	767026.102108
-4.70797412	769151.128491
-4.61286353	768507.901405
-4.51775294	768712.153026
-4.42264235	769027.552675
-4.32753176	769831.582056
-4.23242118	770156.480433
-4.13731059	770093.129703
-4.04220000	768611.045102
-3.94708941	769165.204761
-3.85197882	768326.346732
-3.75686824	767493.463137
-3.66175765	765599.281971
-3.56664706	763631.264463
-3.47153647	759125.459441
-3.37642588	748073.902011
-3.28131529	730690.525535
-3.18620471	721344.428457
-3.09109412	731548.783820
-2.99598353	748713.559307
-2.90087294	759311.545253
-2.80576235	764480.450354
-2.71065176	766816.143030
-2.61554118	767692.004271
-2.52043059	769230.894408
-2.42532000	769531.978676
-2.33020941	770091.520840
-2.23509882	769943.167565
-2.13998824	769639.711971
-2.04487765	769944.090083
-1.94976706	769875.266947
-1.85465647	768953.128673
-1.75954588	769380.226056
-1.66443529	769272.598564
-1.56932471	770535.368601
-1.47421412	768892.555916
-1.37910353	769060.606652
-1.28399294	767230.252408
-1.18888235	764063.096928
-1.09377176	757586.875416
-0.99866118	746994.307386
-0.90355059	744605.942299
-0.80844000	752876.939026
-0.71332941	762523.184769
-0.61821882	766753.131792
-0.52310824	767213.448537
-0.42799765	769191.548676
-0.33288706	769435.534167
-0.23777647	768269.427485
-0.14266588	769411.651542
-0.04755529	769022.096535
0.04755529	769077.288786
0.14266588	768080.518295
0.23777647	769252.633004
0.33288706	767905.478706
0.42799765	765727.340764
0.52310824	759900.795874
0.61821882	751290.189132
0.71332941	744508.611076
0.80844000	750618.189859
0.90355059	759470.597655
0.99866118	766334.579602
1.09377176	768209.200975
1.18888235	768815.069486
1.28399294	770452.539437
1.37910353	769843.513297
1.47421412	769988.025323
1.56932471	770965.665626
1.66443529	769980.375780
1.75954588	770265.066729
1.85465647	769476.899891
1.94976706	770887.681710
2.04487765	769599.812292
2.13998824	769777.920246
2.23509882	768472.394106
2.33020941	768246.228539
2.42532000	768163.657357
2.52043059	765601.934755
2.61554118	763350.226358
2.71065176	757405.236959
2.80576235	744117.666626
2.90087294	725664.422429
2.99598353	723371.681167
3.09109412	736533.530351
3.18620471	752242.140121
3.28131529	761382.756709
3.37642588	765625.778760
3.47153647	767350.338705
3.56664706	768569.855486
3.66175765	768974.439541
3.75686824	768866.217756
3.85197882	769463.572272
3.94708941	768909.297540
4.04220000	768982.000970
4.13731059	769866.574514
4.23242118	769681.362058
4.32753176	769587.220543
4.42264235	768436.377810
4.51775294	767673.730811
4.61286353	766473.425214
4.70797412	765577.141788
4.80308471	762778.804568
4.89819529	758247.685981
4.99330588	747034.034984
5.08841647	727333.193555
5.18352706	711424.377327
5.27863765	716523.287302
5.37374824	730771.217756
5.46885882	747362.008542
