# alpha rms norm_residual norm_LP baseline slope peak_BHF_T sharp_amplitude_sum
1e-06 0.01046371337 0.1674194139 0.02887864599 0.9969471361 -5.936094281e-06 20.1 2.723385211e-19
2.15443469e-05 0.01046371346 0.1674194154 0.02806867836 0.9969470983 -5.936094993e-06 20.1 2.423817006e-13
0.0004641588834 0.0104637217 0.1674195472 0.0225024384 0.9969467258 -5.936100591e-06 15.3 8.998923925e-17
0.01 0.01046376229 0.1674201966 0.0201872793 0.9969443333 -5.936096012e-06 15.3 4.697960262e-14
0.215443469 0.01046787324 0.1674859718 0.01316684592 0.9969313977 -5.93610903e-06 15.3 0.0005479915888
4.641588834 0.01048766717 0.1678026747 0.004339663203 0.9969092638 -5.936137617e-06 20.1 0.001474115571
100 0.01056043105 0.1689668968 0.001447477528 0.9969108078 -5.936366952e-06 20.1 0.002709785161
