 Velocity_(mm/s)           Experimental_data         Total_Fit                 subspectra_1              rest                      
  -11.878800000000000       0.99981799999999998       0.99993900000000002       -1.2100000000003774E-004   0.0000000000000000     
  -11.785600000000001        1.0001610000000001       0.99993699999999996        2.2400000000011300E-004   0.0000000000000000     
  -11.692500000000001        1.0016750000000001       0.99993500000000002        1.7400000000000748E-003   0.0000000000000000     
  -11.599299999999999       0.99947799999999998       0.99993299999999996       -4.5499999999998320E-004   0.0000000000000000     
  -11.506100000000000       0.99877700000000003       0.99993100000000001       -1.1539999999999884E-003   0.0000000000000000     
  -11.413000000000000        1.0002270000000000       0.99992800000000004        2.9899999999993820E-004   0.0000000000000000     
  -11.319800000000001        1.0007370000000000       0.99992599999999998        8.1100000000000616E-004   0.0000000000000000     
  -11.226599999999999       0.99988699999999997       0.99992300000000001       -3.6000000000036003E-005   0.0000000000000000     
  -11.133500000000000        1.0002740000000001       0.99992000000000003        3.5400000000007648E-004   0.0000000000000000     
  -11.040300000000000        1.0008280000000001       0.99991699999999994        9.1100000000010617E-004   0.0000000000000000     
  -10.947100000000001       0.99989200000000000       0.99991399999999997       -2.1999999999966491E-005   0.0000000000000000     
  -10.853999999999999       0.99893100000000001       0.99991099999999999       -9.7999999999998089E-004   0.0000000000000000     
  -10.760800000000000       0.99907400000000002       0.99990699999999999       -8.3299999999997265E-004   0.0000000000000000     
  -10.667600000000000       0.99914199999999997       0.99990299999999999       -7.6100000000001167E-004   0.0000000000000000     
  -10.574500000000000       0.99963800000000003       0.99989899999999998       -2.6099999999995571E-004   0.0000000000000000     
  -10.481299999999999       0.99872899999999998       0.99989499999999998       -1.1660000000000004E-003   0.0000000000000000     
  -10.388100000000000       0.99982199999999999       0.99988999999999995       -6.7999999999956984E-005   0.0000000000000000     
  -10.295000000000000        1.0003310000000001       0.99988500000000002        4.4600000000005746E-004   0.0000000000000000     
  -10.201800000000000       0.99739299999999997       0.99987999999999999       -2.4870000000000170E-003   0.0000000000000000     
  -10.108599999999999       0.99889200000000000       0.99987400000000004       -9.8200000000003840E-004   0.0000000000000000     
  -10.015499999999999       0.99934599999999996       0.99986699999999995       -5.2099999999999369E-004   0.0000000000000000     
  -9.9222999999999999        1.0009859999999999       0.99985999999999997        1.1259999999999604E-003   0.0000000000000000     
  -9.8291000000000004        1.0001599999999999       0.99985299999999999        3.0699999999994620E-004   0.0000000000000000     
  -9.7360000000000007       0.99953599999999998       0.99984499999999998       -3.0900000000000372E-004   0.0000000000000000     
